random_state,acc,nmi
9,0.5027027027027027,0.19836040322145201
11,0.5027027027027027,0.20241948251727893
16,0.5027027027027027,0.20241948251727893
18,0.5027027027027027,0.20241948251727893
12,0.47093023255813954,0.2340148351689538
10,0.47093023255813954,0.2340148351689538
2,0.45348837209302323,0.2370893788662222
17,0.45348837209302323,0.2370893788662222
8,0.45348837209302323,0.2370893788662222
14,0.45348837209302323,0.2370893788662222
13,0.45348837209302323,0.2370893788662222
18,0.4418604651162791,0.2340148351689538
0,0.4418604651162791,0.2340148351689538
15,0.4418604651162791,0.2340148351689538
5,0.4418604651162791,0.2340148351689538
1,0.43783783783783786,0.19836040322145201
3,0.43243243243243246,0.20241948251727893
1,0.43023255813953487,0.2340148351689538
4,0.4186046511627907,0.24187223973856842
3,0.4186046511627907,0.2370893788662222
16,0.4127906976744186,0.2340148351689538
6,0.4127906976744186,0.2340148351689538
9,0.4127906976744186,0.2340148351689538
11,0.4127906976744186,0.2340148351689538
10,0.4,0.20241948251727893
12,0.3945945945945946,0.19836040322145201
17,0.3891891891891892,0.20241948251727893
15,0.3891891891891892,0.20241948251727893
14,0.3891891891891892,0.20241948251727893
13,0.3891891891891892,0.20241948251727893
0,0.3891891891891892,0.20241948251727893
8,0.3891891891891892,0.20241948251727893
5,0.3891891891891892,0.20241948251727893
4,0.3891891891891892,0.20241948251727893
7,0.11627906976744186,0.2340148351689538
19,0.11046511627906977,0.23708937886622225
6,0.10270270270270271,0.19836040322145201
2,0.10270270270270271,0.19836040322145201
7,0.0972972972972973,0.20241948251727893
19,0.0972972972972973,0.20241948251727893
