random_state,acc,nmi
0,0.4418604651162791,0.2340148351689538
1,0.43023255813953487,0.2340148351689538
2,0.45348837209302323,0.2370893788662222
3,0.4186046511627907,0.2370893788662222
4,0.4186046511627907,0.24187223973856842
5,0.4418604651162791,0.2340148351689538
6,0.4127906976744186,0.2340148351689538
7,0.11627906976744186,0.2340148351689538
8,0.45348837209302323,0.2370893788662222
9,0.4127906976744186,0.2340148351689538
10,0.47093023255813954,0.2340148351689538
11,0.4127906976744186,0.2340148351689538
12,0.47093023255813954,0.2340148351689538
13,0.45348837209302323,0.2370893788662222
14,0.45348837209302323,0.2370893788662222
15,0.4418604651162791,0.2340148351689538
16,0.4127906976744186,0.2340148351689538
17,0.45348837209302323,0.2370893788662222
18,0.4418604651162791,0.2340148351689538
19,0.11046511627906977,0.23708937886622225
