iteration,train_loss,clustering_loss,reconstruction_loss
0,0.003226064145565033,0.08015762269496918,0.0024244878441095352
1,0.006899649277329445,0.14257843792438507,0.005473865196108818
2,0.004270154517143965,0.11234895139932632,0.0031466649379581213
3,0.00312536652199924,0.0467488095164299,0.0026578784454613924
4,0.00562635762616992,0.1468874216079712,0.0041574835777282715
5,0.0035816545132547617,0.12227146327495575,0.002358939964324236
6,0.005256274715065956,0.1297714114189148,0.003958560526371002
7,0.0033420936670154333,0.05196162313222885,0.0028224773705005646
8,0.002533315448090434,0.06785847246646881,0.0018547306535765529
9,0.002091226866468787,0.04682055860757828,0.0016230212058871984
10,0.0012866721954196692,0.0370526984333992,0.0009161451598629355
11,0.0015532434917986393,0.059191152453422546,0.0009613320580683649
12,0.0017784674419090152,0.08526521921157837,0.0009258152567781508
13,0.0016704712761566043,0.06575097888708115,0.0010129614965990186
14,0.0019319204147905111,0.028354907408356667,0.0016483713407069445
15,0.0014977919636294246,0.025198478251695633,0.0012458071578294039
16,0.0014361371286213398,0.02352028340101242,0.0012009342899546027
17,0.0014947671443223953,0.01686827652156353,0.0013260843697935343
18,0.001406990340910852,0.02090490609407425,0.0011979412520304322
19,0.0012800374533981085,0.030210740864276886,0.000977930030785501
20,0.004151308909058571,0.09214310348033905,0.0032298776786774397
21,0.004942184314131737,0.15268486738204956,0.0034153356682509184
22,0.003354755463078618,0.13256880640983582,0.0020290673710405827
23,0.002207948826253414,0.05075085163116455,0.001700440188869834
24,0.003927319310605526,0.14954183995723724,0.002431900706142187
25,0.0038259855937212706,0.11090075224637985,0.002716978080570698
26,0.003354026935994625,0.10987769067287445,0.0022552500013262033
27,0.002923585008829832,0.07495565712451935,0.002174028428271413
28,0.0034356205724179745,0.10262573510408401,0.0024093633983284235
29,0.002776356879621744,0.06962276250123978,0.002080129226669669
30,0.0015221975045278668,0.045545972883701324,0.0010667378082871437
31,0.001421467401087284,0.058376505970954895,0.000837702420540154
32,0.0015805363655090332,0.08519268780946732,0.0007286095060408115
33,0.0016705660382285714,0.07171574980020523,0.0009534085402265191
34,0.002274302067235112,0.03957146033644676,0.001878587412647903
35,0.002481910167261958,0.03741078823804855,0.00210780231282115
36,0.002124492544680834,0.03171306848526001,0.001807361957617104
37,0.001400598557665944,0.035621047019958496,0.001044388161972165
38,0.0016161666717380285,0.03825702518224716,0.0012335964711382985
39,0.0018268657149747014,0.05219314992427826,0.0013049340341240168
40,0.0063829198479652405,0.09690237045288086,0.005413896404206753
41,0.005887214560061693,0.1492622196674347,0.004394592251628637
42,0.0038126830477267504,0.14435987174510956,0.002369084395468235
43,0.0026967953890562057,0.08292517811059952,0.001867543556727469
44,0.005209165625274181,0.17243781685829163,0.0034847876522690058
45,0.005718784872442484,0.08871501684188843,0.0048316349275410175
46,0.004424856044352055,0.10515621304512024,0.00337329413741827
47,0.003588280640542507,0.06492709368467331,0.0029390095733106136
48,0.004426280967891216,0.11011137068271637,0.0033251671120524406
49,0.003942206036299467,0.06448660045862198,0.003297339892014861
50,0.0020243669860064983,0.053174152970314026,0.001492625568062067
51,0.001804692205041647,0.07035437226295471,0.0011011484311893582
52,0.0019239694811403751,0.10375051945447922,0.0008864642586559057
53,0.0019868493545800447,0.0837375819683075,0.0011494734790176153
54,0.0021431068889796734,0.04254820570349693,0.0017176249530166388
55,0.0023335872683674097,0.039484843611717224,0.0019387388601899147
56,0.0022840166930109262,0.03097159042954445,0.001974300714209676
57,0.0016495391028001904,0.03005025163292885,0.001349036581814289
58,0.0014329408295452595,0.03341565653681755,0.0010987842688336968
59,0.001588426879607141,0.05128685384988785,0.001075558364391327
60,0.005120089743286371,0.1017063707113266,0.004103025887161493
61,0.005953977815806866,0.1499122977256775,0.004454854875802994
62,0.0042369551956653595,0.13387446105480194,0.002898210659623146
63,0.002433285815641284,0.05027516931295395,0.001930534141138196
64,0.004230479244142771,0.1689007580280304,0.0025414717383682728
65,0.00354171684011817,0.10245110839605331,0.002517205895856023
66,0.004205398261547089,0.10905160754919052,0.003114882158115506
67,0.0036620181053876877,0.05739087238907814,0.003088109428063035
68,0.004295972175896168,0.18155193328857422,0.0024804528802633286
69,0.0034229736775159836,0.11193129420280457,0.002303660847246647
70,0.0022864718921482563,0.07815974950790405,0.0015048743225634098
71,0.0022318693809211254,0.07325097918510437,0.001499359728768468
72,0.0021704970858991146,0.09011662751436234,0.0012693308526650071
73,0.0019078124314546585,0.0780385285615921,0.0011274270946159959
74,0.004470429383218288,0.055400121957063675,0.0039164284244179726
75,0.001869965111836791,0.04140055924654007,0.0014559595147147775
76,0.00168977165594697,0.027289630845189095,0.0014168752823024988
77,0.0025054842699319124,0.018585719168186188,0.0023196269758045673
78,0.0030697323381900787,0.021740736439824104,0.0028523250948637724
79,0.0026185696478933096,0.03809993714094162,0.002237570472061634
80,0.011100037023425102,0.10381738841533661,0.010061862878501415
81,0.00710681127384305,0.15407326817512512,0.005566078703850508
82,0.004840805660933256,0.12436780333518982,0.003597127739340067
83,0.003041298361495137,0.018272442743182182,0.0028585740365087986
84,0.012231088243424892,0.18868114054203033,0.010344277136027813
85,0.009783602319657803,0.20086805522441864,0.00777492206543684
86,0.005407802294939756,0.15292960405349731,0.003878506366163492
87,0.006885845214128494,0.04928230494260788,0.006393022369593382
88,0.00867865514010191,0.1825166642665863,0.006853488273918629
89,0.007716752588748932,0.14247149229049683,0.006292037665843964
90,0.0029142387211322784,0.06721168011426926,0.0022421220783144236
91,0.002358201891183853,0.06451596319675446,0.0017130421474575996
92,0.0024965170305222273,0.08823292702436447,0.0016141877276822925
93,0.00242776982486248,0.07313533127307892,0.0016964164096862078
94,0.006857754662632942,0.06201065331697464,0.006237647961825132
95,0.005557681899517775,0.05885583534836769,0.004969123750925064
96,0.004075608216226101,0.03788178786635399,0.0036967904306948185
97,0.0028665424324572086,0.03277331590652466,0.0025388093199580908
98,0.0024818158708512783,0.030864723026752472,0.002173168584704399
99,0.003028372535482049,0.029632991179823875,0.0027320426888763905
100,0.008473101072013378,0.09765999019145966,0.0074965013191103935
101,0.010998934507369995,0.16355031728744507,0.009363431483507156
102,0.007015364244580269,0.14215317368507385,0.005593832582235336
103,0.0028819844592362642,0.028575032949447632,0.002596234204247594
104,0.006626475136727095,0.12917014956474304,0.005334773566573858
105,0.005776125006377697,0.14928244054317474,0.0042833006009459496
106,0.0057371631264686584,0.14051063358783722,0.004332056734710932
107,0.005723555572330952,0.06799621134996414,0.005043593235313892
108,0.006776363123208284,0.06514494866132736,0.006124913692474365
109,0.004746347200125456,0.04892763867974281,0.004257070831954479
110,0.0016451142728328705,0.020137958228588104,0.001443734741769731
111,0.0015404613222926855,0.03194340318441391,0.001221027341671288
112,0.001571861794218421,0.049586400389671326,0.0010759977158159018
113,0.0017116217641159892,0.042000677436590195,0.0012916149571537971
114,0.004741895943880081,0.05184207111597061,0.004223475232720375
115,0.004240813199430704,0.052235063165426254,0.003718462772667408
116,0.004446281585842371,0.051421113312244415,0.003932070452719927
117,0.0037413015961647034,0.048325665295124054,0.003258044831454754
118,0.002555602230131626,0.05734128877520561,0.001982189482077956
119,0.002222909824922681,0.062154363840818405,0.0016013662097975612
120,0.017559843137860298,0.10024820268154144,0.01655736193060875
121,0.010732810944318771,0.16151410341262817,0.009117670357227325
122,0.006429237313568592,0.16801294684410095,0.0047491081058979034
123,0.0034459587186574936,0.08702275156974792,0.002575731137767434
124,0.011821218766272068,0.20936399698257446,0.009727578610181808
125,0.016270620748400688,0.12035699933767319,0.015067051164805889
126,0.012333336286246777,0.1200786754488945,0.011132549494504929
127,0.005556146614253521,0.15076205134391785,0.004048526287078857
128,0.004760047420859337,0.17849597334861755,0.002975087845697999
129,0.006519290152937174,0.09401248395442963,0.005579165183007717
130,0.00484079634770751,0.028359364718198776,0.004557202570140362
131,0.005201410502195358,0.032760608941316605,0.004873804282397032
132,0.004380341153591871,0.044251926243305206,0.003937821835279465
133,0.0031729501206427813,0.039539434015750885,0.002777555724605918
134,0.006523016840219498,0.08790037035942078,0.005644013173878193
135,0.003515909193083644,0.07699036598205566,0.002746005542576313
136,0.0027058240957558155,0.06985896825790405,0.002007234375923872
137,0.003130623372271657,0.07819344848394394,0.0023486888967454433
138,0.0039380379021167755,0.0583222359418869,0.0033548157662153244
