iteration,train_loss,val_loss,clustering_loss,val_clustering_loss,reconstruction_loss,val_reconstruction_loss
0,0.001598273403942585,0.001642345916479826,0.0006514174747280777,0.0008945674635469913,0.0015976219438016415,0.0016414513811469078
1,0.0016795448027551174,0.0015729013830423355,0.0006116905715316534,0.000793430779594928,0.0016789331566542387,0.0015721078962087631
2,0.00199280702508986,0.0015518211293965578,0.0008509407052770257,0.0006681610830128193,0.001991956029087305,0.001551153021864593
3,0.0019154761685058475,0.0016752935480326414,0.0006958484882488847,0.0007136250496841967,0.0019147803541272879,0.0016745799221098423
4,0.0017933378694579005,0.001571930362842977,0.0005273368442431092,0.0005793410819023848,0.0017928105080500245,0.0015713509637862444
5,0.0017008831491693854,0.0017588860355317593,0.0005338142509572208,0.0006365658482536674,0.001700349384918809,0.0017582494765520096
6,0.0017269004601985216,0.0017954513896256685,0.0005015748320147395,0.0005710965488106012,0.0017263989429920912,0.0017948802560567856
7,0.0017133007058873773,0.0016425083158537745,0.0005105121526867151,0.0005137847037985921,0.0017127902247011662,0.0016419945750385523
8,0.00173545244615525,0.0017316897865384817,0.0007442190544679761,0.0006597959436476231,0.0017347082030028105,0.0017310299444943666
9,0.0017411449225619435,0.0016102900262922049,0.0005914054345339537,0.0006182551151141524,0.0017405535327270627,0.001609671744517982
0,0.0017290246905758977,0.001656892360188067,0.0006771015468984842,0.0008119174162857234,0.0017283476190641522,0.001656080479733646
1,0.0017335382290184498,0.0016866062069311738,0.0008332850411534309,0.0007005687220953405,0.0017327049281448126,0.0016859056195244193
2,0.0016812717076390982,0.0016606450080871582,0.0009969635866582394,0.0007644009310752153,0.0016802747268229723,0.0016598806250840425
3,0.0018099461449310184,0.0018044807948172092,0.0006846599280834198,0.0007186540751717985,0.0018092615064233541,0.0018037621630355716
4,0.0016539670759811997,0.0017642154125496745,0.0008240353199653327,0.0004981079837307334,0.0016531430883333087,0.001763717271387577
