iteration,train_loss,val_loss,clustering_loss,val_clustering_loss,reconstruction_loss,val_reconstruction_loss
20,0.0012387752067297697,0.0011157214175909758,6.917311839060858e-05,6.087380097596906e-05,0.001238083466887474,0.0011151126818731427
21,0.001240545534528792,0.001076946733519435,5.6615994253661484e-05,6.15995959378779e-05,0.0012399794068187475,0.0010763307800516486
22,0.0011486471630632877,0.0011912474874407053,8.004545816220343e-05,6.517915608128533e-05,0.0011478466913104057,0.0011905956780537963
23,0.0010447202948853374,0.0010858350433409214,9.701847011456266e-05,9.094853885471821e-05,0.0010437500895932317,0.0010849256068468094
24,0.0011330180568620563,0.0011693084379658103,8.379097562283278e-05,6.122596096247435e-05,0.001132180099375546,0.0011686962097883224
25,0.001160899642854929,0.0010965096298605204,8.267024531960487e-05,7.427108357660472e-05,0.001160072977654636,0.0010957669001072645
26,0.0010777785209938884,0.0011849664151668549,6.408087210729718e-05,8.19773631519638e-05,0.001077137654647231,0.0011841466184705496
27,0.001112122554332018,0.0011747665703296661,7.591898611281067e-05,7.40712639526464e-05,0.0011113634100183845,0.0011740258196368814
28,0.0011859062360599637,0.0010105223627761006,4.5039316319162026e-05,5.7640805607661605e-05,0.0011854558251798153,0.0010099459905177355
29,0.0011127927573397756,0.0012459440622478724,6.998125900281593e-05,7.792876567691565e-05,0.0011120929848402739,0.0012451647780835629
30,0.0011040448443964124,0.0012193720322102308,7.614714559167624e-05,7.537807687185705e-05,0.0011032833717763424,0.0012186182430014014
31,0.0011175062973052263,0.0012121725594624877,9.293954644817859e-05,6.086369467084296e-05,0.001116576953791082,0.0012115639401599765
32,0.001031596097163856,0.001080922782421112,7.92022910900414e-05,5.448133742902428e-05,0.0010308041237294674,0.001080377958714962
33,0.0011780684581026435,0.0010993948671966791,8.227296348195523e-05,7.465462840627879e-05,0.0011772457510232925,0.001098648295737803
34,0.001012230757623911,0.0011806917609646916,7.22472250345163e-05,7.210180774563923e-05,0.001011508284136653,0.0011799708008766174
35,0.0011016339994966984,0.001108251279219985,8.4112019976601e-05,6.179344927659258e-05,0.0011007928987964988,0.0011076333466917276
36,0.0010004639625549316,0.001144960755482316,8.957988757174462e-05,6.615011079702526e-05,0.0009995681466534734,0.0011442992836236954
37,0.001092033926397562,0.0011295222211629152,7.652045314898714e-05,6.879234570078552e-05,0.0010912687284871936,0.0011288343230262399
