iteration,train_loss,val_loss,clustering_loss,val_clustering_loss,reconstruction_loss,val_reconstruction_loss,train_acc,val_acc,train_nmi,val_nmi,train_ari,val_ari
0,0.11282847076654434,0.14287151396274567,0.08829574286937714,0.5067585110664368,0.10399889945983887,0.09219565987586975,0.59259,0.69024,0.1998,0.32057,0.1446,0.27237
1,0.1405118852853775,0.12034733593463898,0.2977415919303894,0.3645448684692383,0.11073772609233856,0.08389285206794739,0.59259,0.69024,0.1998,0.32057,0.1446,0.27237
2,0.11003990471363068,0.143177330493927,0.2967544496059418,0.46120747923851013,0.08036445826292038,0.09705659002065659,0.59259,0.69024,0.1998,0.32057,0.1446,0.27237
3,0.08601350337266922,0.11022861301898956,0.19157180190086365,0.27934303879737854,0.06685632467269897,0.08229430764913559,0.59259,0.69024,0.1998,0.32057,0.1446,0.27237
4,0.1062106192111969,0.11420806497335434,0.23712217807769775,0.391463041305542,0.08249840140342712,0.07506176084280014,0.59259,0.69024,0.1998,0.32057,0.1446,0.27237
5,0.0714193657040596,0.1372326910495758,0.13330334424972534,0.5773507952690125,0.058089032769203186,0.07949761301279068,0.59259,0.69024,0.1998,0.32057,0.1446,0.27237
6,0.08780267834663391,0.10893144458532333,0.1418076902627945,0.30080899596214294,0.07362190634012222,0.07885054498910904,0.59259,0.69024,0.1998,0.32057,0.1446,0.27237
7,0.0823305994272232,0.08541710674762726,0.15254364907741547,0.26210248470306396,0.06707623600959778,0.05920685827732086,0.59259,0.69024,0.1998,0.32057,0.1446,0.27237
8,0.07227285206317902,0.08243876695632935,0.15943773090839386,0.3870052099227905,0.05632907897233963,0.043738242238759995,0.59259,0.69024,0.1998,0.32057,0.1446,0.27237
9,0.06709624826908112,0.08668315410614014,0.16441158950328827,0.3868640661239624,0.05065508931875229,0.04799674451351166,0.59259,0.69024,0.1998,0.32057,0.1446,0.27237
10,0.04828459769487381,0.052698783576488495,0.030903495848178864,0.12895891070365906,0.04519424960017204,0.03980289027094841,0.5679,0.64646,0.22673,0.36214,0.19726,0.33081
11,0.049065038561820984,0.06616532057523727,0.08440039306879044,0.19371145963668823,0.04062499850988388,0.04679417610168457,0.5679,0.64646,0.22673,0.36214,0.19726,0.33081
12,0.052410464733839035,0.0747375339269638,0.052719175815582275,0.35991641879081726,0.04713854566216469,0.03874588757753372,0.5679,0.64646,0.22673,0.36214,0.19726,0.33081
13,0.04041917622089386,0.06098109856247902,0.05003936588764191,0.29646962881088257,0.03541523963212967,0.03133413568139076,0.5679,0.64646,0.22673,0.36214,0.19726,0.33081
14,0.039553139358758926,0.05007082223892212,0.03156781941652298,0.2109861820936203,0.03639635816216469,0.02897220477461815,0.5679,0.64646,0.22673,0.36214,0.19726,0.33081
15,0.03966892138123512,0.05350761488080025,0.03046886809170246,0.2991350591182709,0.03662203624844551,0.02359410934150219,0.5679,0.64646,0.22673,0.36214,0.19726,0.33081
16,0.03855704516172409,0.06194034218788147,0.061389148235321045,0.40774011611938477,0.032418131828308105,0.021166326478123665,0.5679,0.64646,0.22673,0.36214,0.19726,0.33081
17,0.027592971920967102,0.0616491325199604,0.019720986485481262,0.3855268955230713,0.025620874017477036,0.023096442222595215,0.5679,0.64646,0.22673,0.36214,0.19726,0.33081
18,0.03724874556064606,0.039573442190885544,0.11954069137573242,0.14977332949638367,0.025294678285717964,0.024596108123660088,0.5679,0.64646,0.22673,0.36214,0.19726,0.33081
19,0.030292894691228867,0.04289698600769043,0.06726626306772232,0.23364683985710144,0.023566268384456635,0.019532300531864166,0.5679,0.64646,0.22673,0.36214,0.19726,0.33081
20,0.027290474623441696,0.05225692689418793,0.05973720923066139,0.37481382489204407,0.021316753700375557,0.01477554440498352,0.53813,0.59259,0.1904,0.26183,0.18319,0.25367
21,0.02605798840522766,0.03809214383363724,0.04435785859823227,0.23693734407424927,0.021622201427817345,0.014398409053683281,0.53813,0.59259,0.1904,0.26183,0.18319,0.25367
22,0.02239089459180832,0.034443024545907974,0.07172203063964844,0.17918358743190765,0.015218691900372505,0.01652466505765915,0.53813,0.59259,0.1904,0.26183,0.18319,0.25367
23,0.021487068384885788,0.03586703538894653,0.04383895546197891,0.2041635811328888,0.017103172838687897,0.015450675040483475,0.53813,0.59259,0.1904,0.26183,0.18319,0.25367
24,0.017562367022037506,0.038755279034376144,0.04060514271259308,0.24964140355587006,0.013501852750778198,0.013791137374937534,0.53813,0.59259,0.1904,0.26183,0.18319,0.25367
25,0.01883784867823124,0.030880557373166084,0.053382508456707,0.18655550479888916,0.013499598018825054,0.012225005775690079,0.53813,0.59259,0.1904,0.26183,0.18319,0.25367
