iteration,train_loss,val_loss,clustering_loss,val_clustering_loss,reconstruction_loss,val_reconstruction_loss,train_acc,val_acc,train_nmi,val_nmi,train_ari,val_ari
46,0.021361328661441803,0.016780152916908264,0.00016278770635835826,0.00012278705253265798,0.021198540925979614,0.01665736548602581,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
47,0.01862143538892269,0.01641872525215149,0.00019446529040578753,0.0001296497357543558,0.018426969647407532,0.01628907583653927,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
48,0.020437873899936676,0.017781905829906464,0.0001629264879738912,0.00017376284813508391,0.020274948328733444,0.017608143389225006,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
49,0.018010487779974937,0.015607806853950024,0.0001762609026627615,0.00014140117855276912,0.01783422753214836,0.015466406010091305,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
50,0.016826415434479713,0.01596769131720066,0.00012607572716660798,0.0001262043952010572,0.016700340434908867,0.015841487795114517,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
51,0.015788981691002846,0.01546800509095192,0.00015983266348484904,0.00012393285578582436,0.015629148110747337,0.015344072133302689,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
52,0.01653040573000908,0.013636207208037376,0.0001696466642897576,0.00011607399210333824,0.016360759735107422,0.01352013275027275,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
53,0.016745472326874733,0.014596362598240376,0.00018204972730018198,0.00013330903311725706,0.016563422977924347,0.01446305401623249,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
54,0.017175260931253433,0.014621525071561337,0.00017510756151750684,0.0001464995730202645,0.01700015366077423,0.014475025236606598,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
55,0.01748834177851677,0.01475050300359726,0.00018350520986132324,0.00013573883916251361,0.017304835841059685,0.014614764600992203,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
56,0.016384225338697433,0.014090387150645256,0.0001934509928105399,0.00017106170707847923,0.016190774738788605,0.013919325545430183,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
57,0.013672529719769955,0.013022919185459614,0.00016291983774863183,0.00014221166202332824,0.01350960973650217,0.012880707159638405,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
58,0.015401097945868969,0.01601240783929825,0.00013591408787760884,0.0001663625007495284,0.01526518352329731,0.015846045687794685,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
59,0.014561805874109268,0.012926566414535046,0.0001295114925596863,0.0001201719933305867,0.01443229429423809,0.012806394137442112,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
60,0.014430372975766659,0.011898064985871315,0.00015685585094615817,0.00013557239435613155,0.014273516833782196,0.01176249235868454,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
