random_state,acc,nmi
0,0.2756756756756757,0.3739921793250236
1,0.2594594594594595,0.3739921793250236
2,0.2594594594594595,0.3739921793250236
3,0.2594594594594595,0.3739921793250236
4,0.3675675675675676,0.3739921793250236
5,0.3675675675675676,0.3739921793250236
6,0.2756756756756757,0.3739921793250236
7,0.2756756756756757,0.3739921793250236
8,0.3675675675675676,0.3739921793250236
9,0.2756756756756757,0.3739921793250236
10,0.2594594594594595,0.3739921793250236
11,0.2594594594594595,0.3739921793250236
12,0.372972972972973,0.3739921793250236
13,0.2756756756756757,0.3739921793250236
14,0.372972972972973,0.3739921793250236
15,0.3675675675675676,0.3739921793250236
16,0.6972972972972973,0.3739921793250236
17,0.02702702702702703,0.3739921793250236
18,0.6972972972972973,0.3739921793250236
19,0.3675675675675676,0.3739921793250236
