pretrain_train_loss,pretrain_val_loss
0.035208579152822495,0.011234533973038197
0.008778360672295094,0.006745270453393459
0.005974465515464544,0.004921836778521538
0.004488768987357616,0.003754475386813283
0.0037405313923954964,0.0032389925327152014
0.0033625541254878044,0.003084347350522876
0.003469794988632202,0.00282800174318254
0.0027858035173267126,0.0024753690231591463
0.0025823754258453846,0.0023158572148531675
0.002349392743781209,0.002147726947441697
0.0021974234841763973,0.002121181692928076
0.002159320982173085,0.0021666439715772867
0.0021725287660956383,0.0020526605658233166
0.002203589305281639,0.0018098312430083752
0.0018739454681053758,0.0017252095276489854
0.0017484559211879969,0.001638017245568335
0.0016721440479159355,0.0015724716940894723
0.0015973447589203715,0.0015212380094453692
0.0015585838118568063,0.0014754029689356685
0.0016428669914603233,0.0015281069790944457
0.00154492212459445,0.0014466915745288134
0.001501074992120266,0.0014697571750730276
0.001918917172588408,0.0015513834077864885
0.0015249234857037663,0.0014313433784991503
0.001405736431479454,0.0012922476744279265
0.0013632798800244927,0.0013424119679257274
0.0016213103663176298,0.0015034883981570601
0.0014324341900646687,0.0012714280746877193
0.0012433945666998625,0.0012101986212655902
0.0011799606727436185,0.0011550032068043947
0.0011497029336169362,0.0011438063811510801
0.0011716933222487569,0.001167119829915464
0.0013329855864867568,0.0013973688473924994
0.0012524065095931292,0.0011331656714901328
0.0010882937349379063,0.0010735347168520093
0.0010477283503860235,0.001073775114491582
0.001038083923049271,0.0010341759771108627
0.0010109029244631529,0.0010219078976660967
0.001005536294542253,0.0010543175740167499
0.0010810395469889045,0.001162550994195044
0.001027004444040358,0.0009951767278835177
0.0009511722601018846,0.0009647249826230109
0.0010308437049388885,0.001036889385432005
0.0010127252899110317,0.0011245895875617862
0.0012448725756257772,0.0010644583962857723
0.0009825858287513256,0.0009461948648095131
0.0009439005516469479,0.0009372247150167823
0.0008949619368650019,0.0009220922365784645
0.0008721870253793895,0.0009064864716492593
0.0008930483600124717,0.0009292385075241327
0.000925788888707757,0.0011153289815410972
0.0009215198806487024,0.0009748287848196924
0.0009174531442113221,0.0009348523453809321
0.0008668237132951617,0.0009275614283978939
0.0008629432413727045,0.0009673363529145718
0.0008834694162942469,0.0009558007586747408
0.0009326942963525653,0.0009066576603800058
0.0009297241922467947,0.0009381412528455257
0.0009227138943970203,0.0009478069259785116
