iteration,train_loss,clustering_loss,reconstruction_loss
0,0.004167585633695126,0.08195902407169342,0.003347995225340128
1,0.013395904563367367,0.14613136649131775,0.01193459052592516
2,0.004048126749694347,0.1172989010810852,0.0028751378413289785
3,0.004698039963841438,0.09017482399940491,0.0037962915375828743
4,0.011863003484904766,0.1273966133594513,0.010589037090539932
5,0.011455150321125984,0.06898339837789536,0.010765315964818
6,0.005076691973954439,0.10318373888731003,0.004044854547828436
7,0.00480559142306447,0.10322988033294678,0.003773292526602745
8,0.007208141498267651,0.12374065816402435,0.005970735102891922
9,0.007689996622502804,0.10272246599197388,0.006662772037088871
10,0.003154727630317211,0.04783957079052925,0.002676331903785467
11,0.0018647685647010803,0.04892276972532272,0.0013755408581346273
12,0.0013981277588754892,0.05508391559123993,0.000847288582008332
13,0.001442436594516039,0.03304335102438927,0.0011120031122118235
14,0.0034931504633277655,0.08149074763059616,0.002678242977708578
15,0.0039377701468765736,0.09381450712680817,0.0029996249359101057
16,0.004366699140518904,0.10516748577356339,0.003315024310722947
17,0.0031955165322870016,0.09652858972549438,0.0022302307188510895
18,0.0024774600751698017,0.0949648767709732,0.0015278114005923271
19,0.0025094617158174515,0.10988400876522064,0.0014106216840445995
20,0.005431372672319412,0.0882590115070343,0.004548782482743263
21,0.00615445664152503,0.13261884450912476,0.004828268196433783
22,0.004235771484673023,0.12091559171676636,0.003026615595445037
23,0.003098458983004093,0.0821283608675003,0.0022771754302084446
24,0.004075042903423309,0.1217838004231453,0.002857204992324114
25,0.0034540309570729733,0.08078861981630325,0.002646144712343812
26,0.003960593603551388,0.11110107600688934,0.002849582815542817
27,0.004139762371778488,0.07200947403907776,0.0034196677152067423
28,0.004811941180378199,0.1991737186908722,0.002820204012095928
29,0.003955152351409197,0.17540274560451508,0.0022011250257492065
30,0.0020403312519192696,0.09973568469285965,0.001042974297888577
31,0.0016857744194567204,0.06831931322813034,0.00100258132442832
32,0.0015975981950759888,0.055428504943847656,0.0010433131828904152
33,0.0015170287806540728,0.029449816793203354,0.0012225306127220392
34,0.005204700864851475,0.08012589812278748,0.004403441678732634
35,0.00516542000696063,0.08876926451921463,0.0042777275666594505
36,0.0036423387937247753,0.11283215135335922,0.002514017280191183
37,0.002701682038605213,0.10401647537946701,0.0016615171916782856
38,0.0031283029820770025,0.0914260745048523,0.0022140422370284796
39,0.00392523966729641,0.10048683732748032,0.0029203712474554777
40,0.010539578273892403,0.08577753603458405,0.009681803174316883
41,0.011150253005325794,0.1366652548313141,0.009783600457012653
42,0.0057154446840286255,0.12089887261390686,0.004506456200033426
43,0.0028421932365745306,0.049708012491464615,0.002345113083720207
44,0.004472076427191496,0.15744717419147491,0.002897604601457715
45,0.007094029802829027,0.19003520905971527,0.005193677730858326
46,0.006618073675781488,0.1693388968706131,0.004924684762954712
47,0.004051866941154003,0.12255914509296417,0.0028262753039598465
48,0.0036694789305329323,0.11687446385622025,0.00250073429197073
49,0.0036293198354542255,0.10009421408176422,0.0026283778715878725
50,0.001869129715487361,0.05220925062894821,0.0013470371486619115
51,0.0016944392118602991,0.042978134006261826,0.0012646578252315521
52,0.0014063864946365356,0.03351622074842453,0.0010712242219597101
53,0.0013958198251202703,0.01587078720331192,0.0012371119810268283
54,0.0030222879722714424,0.07558135688304901,0.002266474300995469
55,0.002742030890658498,0.10284671932458878,0.0017135636880993843
56,0.0027570142410695553,0.11167822778224945,0.0016402320470660925
57,0.002915038261562586,0.11323519796133041,0.0017826864495873451
58,0.0026847771368920803,0.11140825599431992,0.0015706946142017841
59,0.0026877312920987606,0.10158319771289825,0.0016718994593247771
60,0.006706163287162781,0.08551685512065887,0.00585099495947361
61,0.0065225656144320965,0.1300438791513443,0.005222126841545105
62,0.004570580553263426,0.12667807936668396,0.0033037997782230377
63,0.0031957030296325684,0.09491152316331863,0.0022465877700597048
64,0.005379556678235531,0.11901884526014328,0.004189368337392807
65,0.005941667128354311,0.0726548582315445,0.0052151186391711235
66,0.00443405332043767,0.08482830226421356,0.003585770260542631
67,0.0038788048550486565,0.08376677334308624,0.0030411372426897287
68,0.004220849368721247,0.1023341715335846,0.0031975076999515295
69,0.004857847932726145,0.10854122787714005,0.003772435709834099
70,0.00289735896512866,0.058420807123184204,0.0023131510242819786
71,0.002231677994132042,0.04980422183871269,0.0017336357850581408
72,0.0016551546286791563,0.049056679010391235,0.001164587796665728
73,0.0014446002896875143,0.0285988487303257,0.001158611848950386
74,0.002617772202938795,0.08482818305492401,0.0017694904236122966
75,0.0028490766417235136,0.09270339459180832,0.0019220426911488175
76,0.0034367472399026155,0.11598875373601913,0.00227685971185565
77,0.0031434991396963596,0.11873593926429749,0.0019561396911740303
78,0.0025722116697579622,0.10237742960453033,0.0015484374016523361
79,0.002477410715073347,0.11570693552494049,0.001320341369137168
80,0.005730126053094864,0.09019330143928528,0.004828193224966526
81,0.00655472232028842,0.1319487988948822,0.005235234275460243
82,0.0044347988441586494,0.12161673605442047,0.0032186314929276705
83,0.0030515899416059256,0.09126626700162888,0.0021389273460954428
84,0.003665047464892268,0.12682436406612396,0.002396803814917803
85,0.004257973283529282,0.08065266907215118,0.0034514465369284153
86,0.004181022755801678,0.1041862890124321,0.003139160107821226
87,0.0037067364901304245,0.09333397448062897,0.002773396670818329
88,0.0039792913012206554,0.14459289610385895,0.0025333622470498085
89,0.003829158376902342,0.13540136814117432,0.002475144574418664
90,0.002254166640341282,0.067758709192276,0.0015765796415507793
91,0.0019577553030103445,0.05551835149526596,0.0014025717973709106
92,0.0015394394285976887,0.04554438591003418,0.001083995564840734
93,0.001386697287671268,0.027132242918014526,0.001115374849177897
94,0.003305043326690793,0.10027648508548737,0.002302278531715274
95,0.002683563856408,0.09816218912601471,0.0017019419465214014
96,0.0027674019802361727,0.1308046579360962,0.001459355466067791
97,0.0028014350682497025,0.10962125658988953,0.0017052225302904844
98,0.0029915471095591784,0.103802889585495,0.0019535182509571314
99,0.002969581400975585,0.10574887692928314,0.001912092906422913
