random_state,acc,nmi
0,0.436046511627907,0.18058848682078876
1,0.3023255813953488,0.18058848682078876
2,0.3023255813953488,0.18058848682078876
3,0.1686046511627907,0.18058848682078876
4,0.436046511627907,0.18058848682078876
5,0.27325581395348836,0.18058848682078876
6,0.3023255813953488,0.18058848682078876
7,0.1686046511627907,0.18058848682078876
8,0.2616279069767442,0.18058848682078876
9,0.3023255813953488,0.18058848682078876
10,0.3023255813953488,0.18058848682078876
11,0.2616279069767442,0.18058848682078876
12,0.436046511627907,0.18058848682078876
13,0.5581395348837209,0.18058848682078876
14,0.27325581395348836,0.18058848682078876
15,0.436046511627907,0.18058848682078876
16,0.3023255813953488,0.18058848682078876
17,0.5581395348837209,0.18058848682078876
18,0.1686046511627907,0.18058848682078876
19,0.3023255813953488,0.18058848682078876
