random_state,acc,nmi
7,0.5621621621621622,0.21264041598341674
8,0.5621621621621622,0.21264041598341674
13,0.5081081081081081,0.21264041598341674
17,0.5081081081081081,0.21264041598341674
4,0.5081081081081081,0.21264041598341674
1,0.5081081081081081,0.21264041598341674
11,0.5081081081081081,0.21264041598341674
18,0.2756756756756757,0.21264041598341674
15,0.2756756756756757,0.21264041598341674
9,0.2756756756756757,0.21264041598341674
0,0.2594594594594595,0.21264041598341674
16,0.2594594594594595,0.21264041598341674
14,0.2594594594594595,0.21264041598341674
10,0.2594594594594595,0.21264041598341674
6,0.2594594594594595,0.21264041598341674
5,0.2594594594594595,0.21264041598341674
3,0.2594594594594595,0.21264041598341674
2,0.2594594594594595,0.21264041598341674
19,0.2594594594594595,0.21264041598341674
12,0.1783783783783784,0.21264041598341674
