iteration,train_loss,val_loss,clustering_loss,val_clustering_loss,reconstruction_loss,val_reconstruction_loss,train_acc,val_acc,train_nmi,val_nmi,train_ari,val_ari
0,0.05016389861702919,0.07931037247180939,1.151671290397644,1.1698435544967651,0.038647186011075974,0.0676119402050972,0.35978,0.4,0.0006,0.05121,-0.00028,0.00493
1,0.09265819936990738,0.07941421121358871,1.8762215375900269,0.9635213017463684,0.07389599084854126,0.06977900117635727,0.35978,0.4,0.0006,0.05121,-0.00028,0.00493
2,0.08560929447412491,0.10693969577550888,2.4635725021362305,2.133939027786255,0.06097358092665672,0.08560029417276382,0.35978,0.4,0.0006,0.05121,-0.00028,0.00493
3,0.05839036405086517,0.11085256189107895,0.7381121516227722,1.3167644739151,0.05100924149155617,0.09768491983413696,0.35978,0.4,0.0006,0.05121,-0.00028,0.00493
4,0.06641890108585358,0.06483549624681473,0.8368538022041321,1.1451964378356934,0.05805036425590515,0.05338352918624878,0.35978,0.4,0.0006,0.05121,-0.00028,0.00493
5,0.0475008599460125,0.10028480738401413,1.7825275659561157,1.3969472646713257,0.02967558242380619,0.0863153338432312,0.35978,0.4,0.0006,0.05121,-0.00028,0.00493
6,0.09774432331323624,0.08595738559961319,1.7220735549926758,1.3684419393539429,0.08052358776330948,0.07227296382188797,0.35978,0.4,0.0006,0.05121,-0.00028,0.00493
7,0.07127788662910461,0.05470610782504082,1.024994134902954,0.5585811138153076,0.061027947813272476,0.04912029206752777,0.35978,0.4,0.0006,0.05121,-0.00028,0.00493
8,0.06602498888969421,0.08331400156021118,2.1256906986236572,1.247664451599121,0.0447680838406086,0.0708373561501503,0.35978,0.4,0.0006,0.05121,-0.00028,0.00493
9,0.06448415666818619,0.08375087380409241,1.6883991956710815,1.3130489587783813,0.047600165009498596,0.07062038034200668,0.35978,0.4,0.0006,0.05121,-0.00028,0.00493
10,0.09154731035232544,0.07450857758522034,1.6781004667282104,1.480367660522461,0.07476630806922913,0.05970490351319313,0.35978,0.4,0.0006,0.05121,-0.00028,0.00493
11,0.07314936071634293,0.07802214473485947,1.485648274421692,1.5038213729858398,0.058292876929044724,0.0629839301109314,0.35978,0.4,0.0006,0.05121,-0.00028,0.00493
12,0.08038463443517685,0.059264231473207474,1.6403017044067383,0.9401302933692932,0.06398161500692368,0.04986293241381645,0.35978,0.4,0.0006,0.05121,-0.00028,0.00493
13,0.07908535748720169,0.0760151669383049,1.509261131286621,1.2396266460418701,0.06399274617433548,0.06361889839172363,0.35978,0.4,0.0006,0.05121,-0.00028,0.00493
