random_state,acc,nmi
14,0.6702702702702703,0.40033580628905097
12,0.6702702702702703,0.40033580628905097
0,0.44324324324324327,0.40033580628905097
13,0.44324324324324327,0.40033580628905097
11,0.44324324324324327,0.40033580628905097
10,0.4011627906976744,0.08255719254033468
16,0.4011627906976744,0.08255719254033468
12,0.4011627906976744,0.08255719254033468
0,0.4011627906976744,0.08255719254033468
2,0.4011627906976744,0.08255719254033468
5,0.4011627906976744,0.08255719254033468
11,0.38953488372093026,0.07824385554256595
17,0.38372093023255816,0.08255719254033468
8,0.38372093023255816,0.08255719254033468
14,0.38372093023255816,0.08255719254033468
1,0.38372093023255816,0.08255719254033468
9,0.37790697674418605,0.07824385554256595
4,0.37790697674418605,0.07824385554256595
6,0.37209302325581395,0.08255719254033468
19,0.37209302325581395,0.07824385554256595
15,0.37209302325581395,0.08255719254033468
13,0.37209302325581395,0.08255719254033468
7,0.37209302325581395,0.08255719254033468
3,0.37209302325581395,0.08255719254033468
18,0.37209302325581395,0.08255719254033468
18,0.31351351351351353,0.40033580628905097
16,0.31351351351351353,0.40033580628905097
4,0.31351351351351353,0.40033580628905097
5,0.31351351351351353,0.40033580628905097
2,0.31351351351351353,0.40033580628905097
19,0.31351351351351353,0.40033580628905097
9,0.2648648648648649,0.40033580628905097
10,0.2648648648648649,0.40033580628905097
6,0.2648648648648649,0.40033580628905097
3,0.2648648648648649,0.40033580628905097
8,0.24324324324324326,0.40033580628905097
15,0.24324324324324326,0.40033580628905097
17,0.24324324324324326,0.40033580628905097
7,0.06486486486486487,0.40033580628905097
1,0.06486486486486487,0.40033580628905097
